Institution Name,City,State,Fall 2013 Enrollment
University of Maryland-Baltimore County,Baltimore,MD,13908
University of Wisconsin-Oshkosh,Oshkosh,WI,13900
Touro College,New York,NY,13868
Southern Illinois University-Edwardsville,Edwardsville,IL,13850
Reedley College,Reedley,CA,13807
University of Houston-Downtown,Houston,TX,13757
Chamberlain College of Nursing-Illinois,Addison,IL,13720
Universidad Metropolitana,Cupey,PR,13631
Wilmington University,New Castle,DE,13621
Arkansas State University-Main Campus,Jonesboro,AR,13552
Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,13459
Fort Hays State University,Hays,KS,13441
Universidad Del Este,Carolina,PR,13420
Marshall University,Huntington,WV,13407
Youngstown State University,Youngstown,OH,13352
Rowan University,Glassboro,NJ,13349
Idaho State University,Pocatello,ID,13326
Tarleton State University,Stephenville,TX,13307
Tulane University of Louisiana,New Orleans,LA,12938
Onondaga Community College,Syracuse,NY,12834
American University,Washington,DC,12818
Eastern Washington University,Cheney,WA,12791
University of Wyoming,Laramie,WY,12778
Stephen F Austin State University,Nacogdoches,TX,12772
Vanderbilt University,Nashville,TN,12757
University of Vermont,Burlington,VT,12723
University of Northern Colorado,Greeley,CO,12710
Pace University-New York,New York,NY,12624
The University of West Florida,Pensacola,FL,12588
South Dakota State University,Brookings,SD,12525
University of Central Missouri,Warrensburg,MO,12513
Indiana State University,Terre Haute,IN,12448
University of Arkansas at Little Rock,Little Rock,AR,12377
Carnegie Mellon University,Pittsburgh,PA,12367
The University of Texas at Brownsville,Brownsville,TX,12285
Texas A & M University-Kingsville,Kingsville,TX,12229
Lindenwood University,Saint Charles,MO,12213
University of Northern Iowa,Cedar Falls,IA,12159
University of Notre Dame,Notre Dame,IN,12124
Yale University,New Haven,CT,12109
CUNY Lehman College,Bronx,NY,12085
University of Wisconsin-Whitewater,Whitewater,WI,12027
University of Idaho,Moscow,ID,12024
University of West Georgia,Carrollton,GA,11929
Hinds Community College,Raymond,MS,11893
Valdosta State University,Valdosta,GA,11885
Central Connecticut State University,New Britain,CT,11865
University of Puerto Rico-Mayaguez,Mayaguez,PR,11838
SUNY Empire State College,Saratoga Springs,NY,11823
Marquette University,Milwaukee,WI,11782
University of Denver,Denver,CO,11778
Southeast Missouri State University,Cape Girardeau,MO,11767
Argosy University-Phoenix Online Division,Phoenix,AZ,11746
Western Illinois University,Macomb,IL,11707
The University of Tennessee-Chattanooga,Chattanooga,TN,11674
Mercy College,Dobbs Ferry,NY,11648
College of Charleston,Charleston,SC,11619
American InterContinental University-Online,Schaumburg,IL,11619
Texas A & M University-Commerce,Commerce,TX,11591
University of Central Arkansas,Conway,AR,11534
William Paterson University of New Jersey,Wayne,NJ,11414
Arkansas Tech University,Russellville,AR,11369
Morehead State University,Morehead,KY,11358
University of Colorado Colorado Springs,Colorado Springs,CO,11321
Tyler Junior College,Tyler,TX,11308
Massachusetts Institute of Technology,Cambridge,MA,11301
California State University-San Marcos,San Marcos,CA,11300
Central Washington University,Ellensburg,WA,11287
Bridgewater State University,Bridgewater,MA,11267
University of Maine,Orono,ME,11247
University of Minnesota-Duluth,Duluth,MN,11241
Rutgers University-Newark,Newark,NJ,11212
Grantham University,Kansas City,MO,11188
