Institution Name,City,State,Fall 2013 Enrollment
University of Maine at Farmington,Farmington,ME,2061
Colorado College,Colorado Springs,CO,2061
Granite State College,Concord,NH,2058
Tusculum College,Greeneville,TN,2055
College of Saint Benedict,Saint Joseph,MN,2051
Strayer University-South Carolina,Greenville,SC,2051
Colorado Technical University-Colorado Springs,Colorado Springs,CO,2049
Carleton College,Northfield,MN,2045
Carson-Newman University,Jefferson City,TN,2045
Western Texas College,Snyder,TX,2044
Western International University,Tempe,AZ,2042
Rhodes College,Memphis,TN,2040
Macalester College,Saint Paul,MN,2039
Southwestern Oregon Community College,Coos Bay,OR,2038
Keuka College,Keuka Park,NY,2036
Notre Dame de Namur University,Belmont,CA,2030
Roanoke College,Salem,VA,2029
Delaware Valley College,Doylestown,PA,2023
University of Dubuque,Dubuque,IA,2023
Lebanon Valley College,Annville,PA,2022
Southwest Mississippi Community College,Summit,MS,2021
Seminole State College,Seminole,OK,2020
Southwestern Assemblies of God University,Waxahachie,TX,2012
Montana Tech of the University of Montana,Butte,MT,2010
Illinois Wesleyan University,Bloomington,IL,2009
Lubbock Christian University,Lubbock,TX,2002
Aquinas College,Grand Rapids,MI,2001
Dominican College of Blauvelt,Orangeburg,NY,1998
Garden City Community College,Garden City,KS,1997
Fontbonne University,Saint Louis,MO,1997
Big Bend Community College,Moses Lake,WA,1991
Clinton Community College,Plattsburgh,NY,1990
Kettering University,Flint,MI,1985
Art Center College of Design,Pasadena,CA,1985
Saint Johns University,Collegeville,MN,1979
Bloomfield College,Bloomfield,NJ,1979
Wittenberg University,Springfield,OH,1979
Strayer University-Tennessee,Memphis,TN,1973
St Thomas Aquinas College,Sparkill,NY,1972
Avila University,Kansas City,MO,1971
Lincoln University of Pennsylvania,Lincoln University,PA,1963
Northeastern Junior College,Sterling,CO,1962
Western Nebraska Community College,Scottsbluff,NE,1960
Marygrove College,Detroit,MI,1960
Navajo Technical University,Crownpoint,NM,1956
Johnson & Wales University-North Miami,North Miami,FL,1952
California College of the Arts,San Francisco,CA,1949
University of Minnesota-Morris,Morris,MN,1946
College of Mount Saint Vincent,Bronx,NY,1938
University of Charleston,Charleston,WV,1935
Felician College,Lodi,NJ,1933
Fort Scott Community College,Fort Scott,KS,1931
Fisher College,Boston,MA,1930
Hamilton College,Clinton,NY,1926
The Art Institute of Fort Lauderdale,Fort Lauderdale,FL,1924
Saint Anselm College,Manchester,NH,1923
Connecticut College,New London,CT,1922
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,1921
Argosy University-Atlanta,Atlanta,GA,1920
Walla Walla University,College Place,WA,1917
MidAmerica Nazarene University,Olathe,KS,1907
The Art Institute of California-Argosy University Hollywood,North Hollywood,CA,1906
Grace College and Theological Seminary,Winona Lake,IN,1904
Oakwood University,Huntsville,AL,1903
Becker College,Worcester,MA,1902
Lake Region State College,Devils Lake,ND,1898
Lenoir-Rhyne University,Hickory,NC,1898
Ranger College,Ranger,TX,1893
Elizabethtown College,Elizabethtown,PA,1892
Claflin University,Orangeburg,SC,1884
Northwest College,Powell,WY,1880
University of South Florida-Sarasota-Manatee,Sarasota,FL,1877
Caribbean University-Bayamon,Bayamon,PR,1876
William Penn University,Oskaloosa,IA,1875
Trine University,Angola,IN,1875
Meredith College,Raleigh,NC,1872
The Art Institute of California-Argosy University San Diego,San Diego,CA,1869
National University College-Rio Grande,Rio Grande,PR,1869
Goldey-Beacom College,Wilmington,DE,1868
Coffeyville Community College,Coffeyville,KS,1866
SUNY Downstate Medical Center,Brooklyn,NY,1865
Pfeiffer University,Misenheimer,NC,1860
St Mary's College of Maryland,St. Mary's City,MD,1858
Seward County Community College and Area Technical School,Liberal,KS,1857
Geneva College,Beaver Falls,PA,1852
Glenville State College,Glenville,WV,1850
University of Phoenix-Southern Arizona Campus,Tucson,AZ,1849
Bridgewater College,Bridgewater,VA,1848
Texas A & M University-Texarkana,Texarkana,TX,1842
Pittsburgh Technical Institute,Oakdale,PA,1841
University of Phoenix-Houston Campus,Houston,TX,1841
Denmark Technical College,Denmark,SC,1838
Moravian College,Bethlehem,PA,1837
Mount Aloysius College,Cresson,PA,1835
Marymount Manhattan College,New York,NY,1833
Eastern Oklahoma State College,Wilburton,OK,1832
Ohio Wesleyan University,Delaware,OH,1830
South Georgia Technical College,Americus,GA,1828
Colby College,Waterville,ME,1820
Saint Vincent College,Latrobe,PA,1813
Freed-Hardeman University,Henderson,TN,1811
The Art Institute of California-Argosy University Los Angeles,Santa Monica,CA,1808
Bethel College-Indiana,Mishawaka,IN,1804
Asbury University,Wilmore,KY,1797
Peirce College,Philadelphia,PA,1796
Bowdoin College,Brunswick,ME,1795
The Art Institute of Colorado,Denver,CO,1794
Trinidad State Junior College,Trinidad,CO,1791
Bates College,Lewiston,ME,1791
Davidson College,Davidson,NC,1788
Eastern Wyoming College,Torrington,WY,1788
Saint Martin's University,Lacey,WA,1787
Dodge City Community College,Dodge City,KS,1785
Amherst College,Amherst,MA,1785
Feather River Community College District,Quincy,CA,1782
Sarah Lawrence College,Bronxville,NY,1782
North Central Missouri College,Trenton,MO,1774
Simpson College,Indianola,IA,1773
Augustana College,Sioux Falls,SD,1765
Lancaster Bible College,Lancaster,PA,1763
Springfield College-School of Human Services,Springfield,MA,1763
The Art Institute of California-Argosy University Orange County,Santa Ana,CA,1761
Mount Mercy University,Cedar Rapids,IA,1761
SUNY Maritime College,Throggs Neck,NY,1755
Virginia Union University,Richmond,VA,1749
Urbana University,Urbana,OH,1748
Bluefield State College,Bluefield,WV,1747
Vaughn College of Aeronautics and Technology,Flushing,NY,1741
Bryn Mawr College,Bryn Mawr,PA,1738
Roberts Wesleyan College,Rochester,NY,1735
Northwest University,Kirkland,WA,1733
Southern Arkansas University Tech,Camden,AR,1730
DeVry University-New Jersey,North Brunswick,NJ,1725
University of South Carolina-Beaufort,Bluffton,SC,1724
Grinnell College,Grinnell,IA,1721
Massachusetts College of Liberal Arts,North Adams,MA,1716
Wartburg College,Waverly,IA,1714
Mary Baldwin College,Staunton,VA,1711
Kenyon College,Gambier,OH,1705
Bryan College-Dayton,Dayton,TN,1704
University of Phoenix-Utah Campus,Salt Lake City,UT,1703
Sewanee-The University of the South,Sewanee,TN,1701
Southern Wesleyan University,Central,SC,1701
Johnson State College,Johnson,VT,1692
Western Oklahoma State College,Altus,OK,1690
Northern New Mexico College,Espanola,NM,1681
College of Our Lady of the Elms,Chicopee,MA,1678
University of Pittsburgh-Greensburg,Greensburg,PA,1677
Virginia Military Institute,Lexington,VA,1675
Linfield College-McMinnville Campus,McMinnville,OR,1671
Missouri Valley College,Marshall,MO,1668
Miles College,Fairfield,AL,1666
Michigan Jewish Institute,W Bloomfield,MI,1662
Southwestern College,Winfield,KS,1661
Potomac State College of West Virginia University,Keyser,WV,1660
Union Institute & University,Cincinnati,OH,1660
Kendall College,Chicago,IL,1659
Adrian College,Adrian,MI,1658
Wesley College,Dover,DE,1655
University of Phoenix-Bay Area Campus,San Jose,CA,1655
Wheaton College,Norton,MA,1654
Doane College-Lincoln Grand Island and Master,Lincoln,NE,1653
Georgia Military College,Milledgeville,GA,1651
Pacific Union College,Angwin,CA,1647
LIM College,New York,NY,1647
Belmont Abbey College,Belmont,NC,1647
Eastern Mennonite University,Harrisonburg,VA,1640
Albany College of Pharmacy and Health Sciences,Albany,NY,1639
Juniata College,Huntingdon,PA,1635
Shorter University,Rome,GA,1629
Northwest Iowa Community College,Sheldon,IA,1628
Harcum College,Bryn Mawr,PA,1627
South University-Columbia,Columbia,SC,1627
Berea College,Berea,KY,1623
Loras College,Dubuque,IA,1621
Wheeling Jesuit University,Wheeling,WV,1619
Hartwick College,Oneonta,NY,1618
Lake Forest College,Lake Forest,IL,1618
Upstate Medical University,Syracuse,NY,1617
Wofford College,Spartanburg,SC,1615
Saint Joseph's College of Maine,Standish,ME,1614
Pomona College,Claremont,CA,1610
University of Mobile,Mobile,AL,1610
Woodbury University,Burbank,CA,1607
Truett-McConnell College,Cleveland,GA,1606
North Carolina Wesleyan College,Rocky Mount,NC,1602
Thomas More College,Crestview Hills,KY,1600
Ursinus College,Collegeville,PA,1596
Keystone College,La Plume,PA,1595
Mills College,Oakland,CA,1595
Sullivan County Community College,Loch Sheldrake,NY,1585
Albertus Magnus College,New Haven,CT,1582
Charter Oak State College,New Britain,CT,1580
Christian Brothers University,Memphis,TN,1577
The Art Institute of Seattle,Seattle,WA,1573
Southwestern Community College,Creston,IA,1573
DeVry University-Arizona,Phoenix,AZ,1565
Uta Mesivta of Kiryas Joel,Monroe,NY,1561
Gallaudet University,Washington,DC,1561
Florida Memorial University,Miami Gardens,FL,1560
Lane College,Jackson,TN,1554
Lawrence University,Appleton,WI,1553
College of Saint Elizabeth,Morristown,NJ,1552
Oglala Lakota College,Kyle,SD,1551
Baker College of Cadillac,Cadillac,MI,1549
The Art Institute of Pittsburgh,Pittsburgh,PA,1544
Vermont Technical College,Randolph Center,VT,1543
Ouachita Baptist University,Arkadelphia,AR,1543
Samuel Merritt University,Oakland,CA,1542
Marietta College,Marietta,OH,1542
Elmira College,Elmira,NY,1542
Whitman College,Walla Walla,WA,1541
Pratt Community College,Pratt,KS,1541
Anna Maria College,Paxton,MA,1540
Southwestern University,Georgetown,TX,1535
Swarthmore College,Swarthmore,PA,1534
Caribbean University-Ponce,Ponce,PR,1529
Johnson & Wales University-Denver,Denver,CO,1529
West Coast University-Orange County,Anaheim,CA,1528
Thomas College,Waterville,ME,1522
Lyndon State College,Lyndonville,VT,1519
College of the Ozarks,Point Lookout,MO,1513
Washington College,Chestertown,MD,1512
Ferrum College,Ferrum,VA,1512
South University-Savannah,Savannah,GA,1510
University of Phoenix-Atlanta Campus,Sandy Springs,GA,1510
Cumberland University,Lebanon,TN,1501
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,1501
The Master's College and Seminary,Santa Clarita,CA,1499
The Art Institute of Washington,Arlington,VA,1499
University of Phoenix-Dallas Campus,Dallas,TX,1499
Hampshire College,Amherst,MA,1492
Pennsylvania State University-Penn State Brandywine,Media,PA,1492
California Institute of the Arts,Valencia,CA,1489
Cedar Crest College,Allentown,PA,1486
La Roche College,Pittsburgh,PA,1481
University of Pittsburgh-Bradford,Bradford,PA,1481
Mount Mary University,Milwaukee,WI,1481
DeVry University-Pennsylvania,Fort Washington,PA,1481
Saint Mary's College,Notre Dame,IN,1479
Eastern Nazarene College,Quincy,MA,1478
Massachusetts Maritime Academy,Buzzards Bay,MA,1476
University of Phoenix-Colorado Campus,Lone Tree,CO,1474
West Virginia Wesleyan College,Buckhannon,WV,1469
Dine College,Tsaile,AZ,1466
Nichols College,Dudley,MA,1459
Virginia Wesleyan College,Norfolk,VA,1459
Kalamazoo College,Kalamazoo,MI,1458
The University of Montana-Western,Dillon,MT,1455
Quincy University,Quincy,IL,1455
University of Phoenix-Hawaii Campus,Honolulu,HI,1454
Lackawanna College,Scranton,PA,1454
Dickinson State University,Dickinson,ND,1449
Otero Junior College,La Junta,CO,1449
Hendrix College,Conway,AR,1444
Mars Hill University,Mars Hill,NC,1440
Point University,West Point,GA,1439
University of Phoenix-Nashville Campus,Nashville,TN,1436
West Coast University-Los Angeles,North Hollywood,CA,1435
Presbyterian College,Clinton,SC,1433
Carroll College,Helena,MT,1431
Dordt College,Sioux Center,IA,1430
Atlantic University College,Guaynabo,PR,1429
Richard Bland College of the College of William and Mary,Petersburg,VA,1428
The Art Institute of Charlotte,Charlotte,NC,1427
Knox College,Galesburg,IL,1424
College for Creative Studies,Detroit,MI,1423
South University-The Art Institute of Dallas,Dallas,TX,1423
Spring Hill College,Mobile,AL,1422
Coe College,Cedar Rapids,IA,1419
Alma College,Alma,MI,1419
The Art Institute of Austin,Austin,TX,1413
Reed College,Portland,OR,1411
Colby-Sawyer College,New London,NH,1409
Marylhurst University,Marylhurst,OR,1408
University of Sioux Falls,Sioux Falls,SD,1408
Amberton University,Garland,TX,1403
Universidad Adventista de las Antillas,Mayaguez,PR,1403
Colby Community College,Colby,KS,1402
Louisiana College,Pineville,LA,1400
Georgetown College,Georgetown,KY,1399
Wiley College,Marshall,TX,1392
Johnson C Smith University,Charlotte,NC,1387
Central College,Pella,IA,1386
Centre College,Danville,KY,1381
Trinity Christian College,Palos Heights,IL,1380
Columbus College of Art and Design,Columbus,OH,1379
Wheelock College,Boston,MA,1378
Hibbing Community College,Hibbing,MN,1376
Oklahoma Panhandle State University,Goodwell,OK,1375
Strayer University-District of Columbia,Washington,DC,1372
Greenville College,Greenville,IL,1368
Chowan University,Murfreesboro,NC,1367
Valley City State University,Valley City,ND,1366
Westminster College,New Wilmington,PA,1366
American Musical and Dramatic Academy,New York,NY,1365
University of Phoenix-South Florida Campus,Miramar,FL,1364
University of Connecticut-Stamford,Stamford,CT,1363
Ursuline College,Pepper Pike,OH,1357
John F Kennedy University,Pleasant Hill,CA,1356
Hope International University,Fullerton,CA,1356
Oklahoma Wesleyan University,Bartlesville,OK,1355
Midway College,Midway,KY,1351
St Louis College of Pharmacy,Saint Louis,MO,1350
Manchester University,North Manchester,IN,1349
The Art Institute of Portland,Portland,OR,1348
Holy Names University,Oakland,CA,1343
Roseman University of Health Sciences,Henderson,NV,1343
Texas Lutheran University,Seguin,TX,1341
Montana State University-Northern,Havre,MT,1334
Converse College,Spartanburg,SC,1333
Washington & Jefferson College,Washington,PA,1328
Claremont McKenna College,Claremont,CA,1328
DeVry University-Virginia,Arlington,VA,1328
University of Saint Mary,Leavenworth,KS,1325
Crown College,Saint Bonifacius,MN,1323
Strayer University-Texas,Austin,TX,1322
Westmont College,Santa Barbara,CA,1321
The Art Institute of California-Argosy University San Francisco,San Francisco,CA,1317
Randolph-Macon College,Ashland,VA,1315
Hiram College,Hiram,OH,1311
Catawba College,Salisbury,NC,1310
Reinhardt University,Waleska,GA,1309
Albion College,Albion,MI,1307
Lycoming College,Williamsport,PA,1307
Beloit College,Beloit,WI,1306
North Central University,Minneapolis,MN,1305
Dean College,Franklin,MA,1300
Saint Augustine's University,Raleigh,NC,1299
Harris-Stowe State University,Saint Louis,MO,1298
Central Penn College,Summerdale,PA,1297
Linn State Technical College,Linn,MO,1294
Midland University,Fremont,NE,1288
Mount Ida College,Newton,MA,1288
Texas State Technical College-West Texas,Sweetwater,TX,1281
Luther Rice University & Seminary,Lithonia,GA,1277
California Institute of Integral Studies,San Francisco,CA,1271
University of Maine at Presque Isle,Presque Isle,ME,1263
Simpson University,Redding,CA,1255
Monmouth College,Monmouth,IL,1255
Metropolitan College of New York,New York,NY,1255
Ringling College of Art and Design,Sarasota,FL,1253
Everglades University,Boca Raton,FL,1252
University of Phoenix-Detroit Campus,Southfield,MI,1249
University of Phoenix-Memphis Campus,Cordova,TN,1249
Touro University Nevada,Henderson,NV,1248
Itasca Community College,Grand Rapids,MN,1248
East Texas Baptist University,Marshall,TX,1247
Heidelberg University,Tiffin,OH,1241
Lincoln College,Lincoln,IL,1240
Clarkson College,Omaha,NE,1238
University of Phoenix-North Florida Campus,Jacksonville,FL,1238
Northwestern College,Orange City,IA,1233
Rockford University,Rockford,IL,1230
Hannibal-LaGrange University,Hannibal,MO,1229
Clarke University,Dubuque,IA,1225
Mount Marty College,Yankton,SD,1225
Austin College,Sherman,TX,1223
West Virginia University Institute of Technology,Montgomery,WV,1222
Averett University-Non-Traditional Programs,Danville,VA,1221
McMurry University,Abilene,TX,1216
Clarendon College,Clarendon,TX,1214
Cheyney University of Pennsylvania,Cheyney,PA,1212
University of Maine at Fort Kent,Fort Kent,ME,1209
Bay State College,Boston,MA,1204
Ohio State University-Mansfield Campus,Mansfield,OH,1204
Milligan College,Milligan College,TN,1198
Birmingham Southern College,Birmingham,AL,1188
Haverford College,Haverford,PA,1187
Salem College,Winston Salem,NC,1187
Washington Adventist University,Takoma Park,MD,1185
The Art Institute of California-Argosy University Sacramento,Sacramento,CA,1185
Dillard University,New Orleans,LA,1183
Pennsylvania State University-Penn State Worthington Scranton,Dunmore,PA,1178
Wisconsin Lutheran College,Milwaukee,WI,1178
Pennsylvania State University-Penn State York,York,PA,1177
Livingstone College,Salisbury,NC,1175
Briar Cliff University,Sioux City,IA,1174
Covenant College,Lookout Mountain,GA,1173
Wilmington College,Wilmington,OH,1173
Coker College,Hartsville,SC,1172
Howard Payne University,Brownwood,TX,1170
Judson University,Elgin,IL,1170
Columbia College,Columbia,SC,1169
Maryville College,Maryville,TN,1168
Union College,Barbourville,KY,1164
Hanover College,Hanover,IN,1163
Saint Josephs College,Rensselaer,IN,1163
Warner University,Lake Wales,FL,1162
Bridgemont Community and Technical College,Montgomery,WV,1162
The Art Institutes International-Minnesota,Minneapolis,MN,1161
Earlham College,Richmond,IN,1159
The Art Institute of New York City,New York,NY,1158
Columbia International University,Columbia,SC,1154
Waldorf College,Forest City,IA,1150
Frank Phillips College,Borger,TX,1148
Bluffton University,Bluffton,OH,1146
New England College of Business and Finance,Boston,MA,1145
Hastings College,Hastings,NE,1144
Martin Methodist College,Pulaski,TN,1144
Corban University,Salem,OR,1143
Calumet College of Saint Joseph,Whiting,IN,1140
Florida Keys Community College,Key West,FL,1139
Colorado Northwestern Community College,Rangely,CO,1138
University of Great Falls,Great Falls,MT,1138
Maharishi University of Management,Fairfield,IA,1136
Schreiner University,Kerrville,TX,1136
Wright State University-Lake Campus,Celina,OH,1133
Olivet College,Olivet,MI,1133
Midwestern Baptist Theological Seminary,Kansas City,MO,1132
DeVry University-Missouri,Kansas City,MO,1130
Rochester College,Rochester Hills,MI,1129
Heritage University,Toppenish,WA,1128
Cornell College,Mount Vernon,IA,1125
Huntington University,Huntington,IN,1124
The College of Idaho,Caldwell,ID,1122
Mount Carmel College of Nursing,Columbus,OH,1121
Boricua College,New York,NY,1118
National University College-Ponce,Ponce,PR,1118
Shorter University-College of Adult & Professional Programs,Marietta,GA,1118
Alderson Broaddus University,Philippi,WV,1117
Young Harris College,Young Harris,GA,1117
South College,Knoxville,TN,1116
DeVry University-Colorado,Westminster,CO,1116
The Art Institute of San Antonio,San Antonio,TX,1115
Bastyr University,Kenmore,WA,1115
Doane College-Crete,Crete,NE,1113
Our Lady of Holy Cross College,New Orleans,LA,1112
Huntingdon College,Montgomery,AL,1110
South University-West Palm Beach,Royal Palm Beach,FL,1109
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,1107
American InterContinental University-Atlanta,Atlanta,GA,1103
West Coast University-Ontario,Ontario,CA,1103
Baptist Memorial College of Health Sciences,Memphis,TN,1101
Houghton College,Houghton,NY,1100
Thiel College,Greenville,PA,1100
Oglethorpe University,Atlanta,GA,1100
Gogebic Community College,Ironwood,MI,1099
The Art Institute of Las Vegas,Henderson,NV,1097
MGH Institute of Health Professions,Boston,MA,1096
William Jessup University,Rocklin,CA,1095
Cairn University-Langhorne,Langhorne,PA,1093
Jefferson Davis Community College,Brewton,AL,1091
Thomas University,Thomasville,GA,1090
Otis College of Art and Design,Los Angeles,CA,1086
Northern Maine Community College,Presque Isle,ME,1086
Lake Erie College,Painesville,OH,1086
Tennessee Wesleyan College,Athens,TN,1084
American University of Puerto Rico,Manati,PR,1082
Transylvania University,Lexington,KY,1082
Pitzer College,Claremont,CA,1081
Sojourner-Douglass College,Baltimore,MD,1080
Cazenovia College,Cazenovia,NY,1077
Pacific Oaks College,Pasadena,CA,1072
Hilbert College,Hamburg,NY,1070
Hampden-Sydney College,Hampden-Sydney,VA,1070
Rocky Mountain College,Billings,MT,1067
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,1066
Mayville State University,Mayville,ND,1065
Barton College,Wilson,NC,1065
University of Phoenix-San Antonio Campus,San Antonio,TX,1048
The Art Institute of Phoenix,Phoenix,AZ,1045
California Maritime Academy,Vallejo,CA,1045
William Jewell College,Liberty,MO,1044
University of Management and Technology,Arlington,VA,1044
Jefferson College of Health Sciences,Roanoke,VA,1039
Newberry College,Newberry,SC,1039
Minnesota School of Business-Richfield,Richfield,MN,1037
Boston Architectural College,Boston,MA,1037
Central Christian College of Kansas,McPherson,KS,1037
Marymount California University,Rancho Palos Verdes,CA,1037
Maranatha Baptist University,Watertown,WI,1035
Ellsworth Community College,Iowa Falls,IA,1034
Mercyhurst University-North East Campus,North East,PA,1032
Independence Community College,Independence,KS,1031
Johnson University,Knoxville,TN,1031
Illinois College,Jacksonville,IL,1028
Arkansas Baptist College,Little Rock,AR,1027
Westminster College,Fulton,MO,1026
Le Moyne-Owen College,Memphis,TN,1023
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,1023
AIB College of Business,Des Moines,IA,1019
Maine Maritime Academy,Castine,ME,1018
Argosy University-Chicago,Chicago,IL,1017
University of Advancing Technology,Tempe,AZ,1017
Franklin College,Franklin,IN,1014
Greensboro College,Greensboro,NC,1012
Tennessee Temple University,Chattanooga,TN,1010
Scripps College,Claremont,CA,1009
William Peace University,Raleigh,NC,1007
Valley Forge Christian College,Phoenixville,PA,1004
The Art Institute of Michigan,Novi,MI,1003
DigiPen Institute of Technology,Redmond,WA,1000
University of Jamestown,Jamestown,ND,997
Lincoln Christian University,Lincoln,IL,997
Naropa University,Boulder,CO,992
Carlos Albizu University-Miami,Miami,FL,991
The Art Institute of Tennessee-Nashville,Nashville,TN,991
Humphreys College-Stockton and Modesto Campuses,Stockton,CA,990
Defiance College,Defiance,OH,989
Northwestern Polytechnic University,Fremont,CA,988
Ave Maria University,Ave Maria,FL,988
Antioch University-Los Angeles,Culver City,CA,986
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,986
United States Merchant Marine Academy,Kings Point,NY,985
South University-Tampa,Tampa,FL,983
Paul Smiths College of Arts and Science,Paul Smiths,NY,981
Westwood College-Inland Empire,Upland,CA,979
Huston-Tillotson University,Austin,TX,973
Texas College,Tyler,TX,971
College of Saint Mary,Omaha,NE,970
Logan University,Chesterfield,MO,969
American University of Puerto Rico,Bayamon,PR,968
Bacone College,Muskogee,OK,965
Newbury College,Brookline,MA,962
Emory & Henry College,Emory,VA,959
Rosemont College,Rosemont,PA,957
Sierra Nevada College,Incline Village,NV,955
Concordia College-New York,Bronxville,NY,953
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,951
Strayer University-Ohio,Mason,OH,950
Brescia University,Owensboro,KY,949
Palo Alto University,Palo Alto,CA,948
Prescott College,Prescott,AZ,943
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,943
LaGrange College,Lagrange,GA,940
Oregon State University-Cascades Campus,Bend,OR,934
University of Phoenix-Charlotte Campus,Charlotte,NC,933
Talladega College,Talladega,AL,932
University of Phoenix-Puerto Rico Campus,Guaynabo,PR,928
The Juilliard School,New York,NY,927
Montreat College,Montreat,NC,926
University of New Hampshire at Manchester,Manchester,NH,926
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,925
Argosy University-Washington DC,Arlington,VA,925
Paine College,Augusta,GA,924
University of the Southwest,Hobbs,NM,923
Rust College,Holly Springs,MS,922
Parker University,Dallas,TX,922
Cooper Union for the Advancement of Science and Art,New York,NY,920
Carlos Albizu University-San Juan,San Juan,PR,919
Cincinnati Christian University,Cincinnati,OH,918
Baptist Bible College & Seminary of Pennsylvania,Clarks Summit,PA,918
University of Science and Arts of Oklahoma,Chickasha,OK,918
Warner Pacific College Adult Degree Program,Portland,OR,918
Agnes Scott College,Decatur,GA,915
San Diego Christian College,El Cajon,CA,914
Highlands College of Montana Tech,Butte,MT,913
University of North Carolina School of the Arts,Winston-Salem,NC,912
Union College,Lincoln,NE,911
Williston State College,Williston,ND,909
Averett University,Danville,VA,906
Widener University-Delaware Campus,Wilmington,DE,905
Ripon College,Ripon,WI,904
Northwestern Health Sciences University,Bloomington,MN,904
Lamar Community College,Lamar,CO,902
United States Coast Guard Academy,New London,CT,902
Wabash College,Crawfordsville,IN,902
Kaplan University-Hagerstown Campus,Hagerstown,MD,893
Warren Wilson College,Swannanoa,NC,893
University of Maine at Machias,Machias,ME,892
Lees-McRae College,Banner Elk,NC,890
Nazarene Bible College,Colorado Springs,CO,889
University of Phoenix-Columbus Georgia Campus,Columbus,GA,889
Goshen College,Goshen,IN,888
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,887
Manhattan School of Music,New York,NY,885
Antioch University-Seattle,Seattle,WA,884
Thaddeus Stevens College of Technology,Lancaster,PA,883
San Diego State University-Imperial Valley Campus,Calexico,CA,883
University of Phoenix-Chicago Campus,Schaumburg,IL,882
Kettering College,Kettering,OH,880
Dakota Wesleyan University,Mitchell,SD,879
Tougaloo College,Tougaloo,MS,878
Davis & Elkins College,Elkins,WV,874
Toccoa Falls College,Toccoa Falls,GA,870
Colorado Technical University-Greenwood Village,Aurora,CO,869
Mitchell College,New London,CT,866
University of Phoenix-Northern Virginia Campus,Reston,VA,865
Stillman College,Tuscaloosa,AL,863
Edward Waters College,Jacksonville,FL,862
The Art Institute of Indianapolis,Indianapolis,IN,862
Manor College,Jenkintown,PA,858
Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,856
Stephens College,Columbia,MO,854
Strayer University-Alabama,Birmingham,AL,852
Wentworth Military Academy & Junior College,Lexington,MO,851
Southwestern Christian University,Bethany,OK,847
North Central Kansas Technical College,Beloit,KS,844
Capitol College,Laurel,MD,843
Culver-Stockton College,Canton,MO,843
University of Phoenix-Central Florida Campus,Orlando,FL,843
Bluefield College,Bluefield,VA,842
Green Mountain College,Poultney,VT,840
Salish Kootenai College,Pablo,MT,840
Lincoln College of New England-Southington,Southington,CT,837
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,837
The Art Institute of Ohio-Cincinnati,Cincinnati,OH,834
University of Phoenix-Augusta Campus,Augusta,GA,827
Caribbean University-Carolina,Carolina,PR,827
Central Baptist College,Conway,AR,827
Santa Fe University of Art and Design,Santa Fe,NM,826
Martin Luther College,New Ulm,MN,824
Morris College,Sumter,SC,824
Spartanburg Methodist College,Spartanburg,SC,818
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,818
Spartan College of Aeronautics and Technology,Tulsa,OK,817
Erskine College,Due West,SC,815
The New England Conservatory of Music,Boston,MA,813
The National Hispanic University,San Jose,CA,813
Southwestern Adventist University,Keene,TX,808
Harvey Mudd College,Claremont,CA,807
Emmanuel College,Franklin Springs,GA,806
Millsaps College,Jackson,MS,804
Five Towns College,Dix Hills,NY,796
Argosy University-Hawaii,Honolulu,HI,795
New College of Florida,Sarasota,FL,793
Dakota College at Bottineau,Bottineau,ND,793
Argosy University-Sarasota,Sarasota,FL,793
Minneapolis College of Art and Design,Minneapolis,MN,791
Presentation College,Aberdeen,SD,791
South University–Virginia Beach,Virginia Beach,VA,790
Strayer University-New Jersey,Cherry Hill,NJ,788
Beulah Heights University,Atlanta,GA,788
National University of Health Sciences,Lombard,IL,786
Taft University System,Santa Ana,CA,785
University of Phoenix-Columbia Campus,Columbia,SC,784
The Art Institute of Raleigh-Durham,Durham,NC,781
The New England Institute of Art,Brookline,MA,779
Cornish College of the Arts,Seattle,WA,778
Multnomah University,Portland,OR,777
Rocky Mountain College of Art and Design,Lakewood,CO,775
The Boston Conservatory,Boston,MA,774
Westwood College-Anaheim,Anaheim,CA,772
Garrett College,McHenry,MD,769
Saint Catharine College,Saint Catharine,KY,767
Apex School of Theology,Durham,NC,767
Daniel Webster College,Nashua,NH,764
University of Phoenix-Austin Campus,Austin,TX,756
Texas State Technical College-Marshall,Marshall,TX,755
Ozark Christian College,Joplin,MO,751
Hollins University,Roanoke,VA,750
Menlo College,Atherton,CA,745
University of New Mexico-Los Alamos Campus,Los Alamos,NM,744
Argosy University-Phoenix,Phoenix,AZ,743
Haskell Indian Nations University,Lawrence,KS,742
Concordia University-Ann Arbor,Ann Arbor,MI,740
Kansas City Art Institute,Kansas City,MO,739
